id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
9746,Moonshield,MSHLD,moonshield,5711,1,2021-06-04T02:03:06.000Z,2021-08-12T21:48:05.000Z
9746,Moonshield,MSHLD,moonshield,5711,1,2021-06-04T02:03:06.000Z,2021-08-12T21:48:05.000Z
9746,Moonshield,MSHLD,moonshield,5711,1,2021-06-04T02:03:06.000Z,2021-08-12T21:48:05.000Z
9746,Moonshield,MSHLD,moonshield,5711,1,2021-06-04T02:03:06.000Z,2021-08-12T21:48:05.000Z
9746,Moonshield,MSHLD,moonshield,5711,1,2021-06-04T02:03:06.000Z,2021-08-12T21:48:05.000Z
9747,Cryption Network,CNT,cryption-network,4119,1,2021-06-08T15:12:06.000Z,2021-08-12T21:47:05.000Z
9747,Cryption Network,CNT,cryption-network,4119,1,2021-06-08T15:12:06.000Z,2021-08-12T21:47:05.000Z
9747,Cryption Network,CNT,cryption-network,4119,1,2021-06-08T15:12:06.000Z,2021-08-12T21:47:05.000Z
9747,Cryption Network,CNT,cryption-network,4119,1,2021-06-08T15:12:06.000Z,2021-08-12T21:47:05.000Z
9747,Cryption Network,CNT,cryption-network,4119,1,2021-06-08T15:12:06.000Z,2021-08-12T21:47:05.000Z
9748,Renascent Finance,RENASCENT,renascent-finance,4362,1,2021-05-25T18:30:06.000Z,2021-08-12T21:50:05.000Z
9748,Renascent Finance,RENASCENT,renascent-finance,4362,1,2021-05-25T18:30:06.000Z,2021-08-12T21:50:05.000Z
9748,Renascent Finance,RENASCENT,renascent-finance,4362,1,2021-05-25T18:30:06.000Z,2021-08-12T21:50:05.000Z
9748,Renascent Finance,RENASCENT,renascent-finance,4362,1,2021-05-25T18:30:06.000Z,2021-08-12T21:50:05.000Z
9748,Renascent Finance,RENASCENT,renascent-finance,4362,1,2021-05-25T18:30:06.000Z,2021-08-12T21:50:05.000Z
9749,WallStreetBets DApp,WSB,wallstreetbets-dapp,2911,1,2021-05-12T19:14:07.000Z,2021-08-12T21:49:05.000Z
9749,WallStreetBets DApp,WSB,wallstreetbets-dapp,2911,1,2021-05-12T19:14:07.000Z,2021-08-12T21:49:05.000Z
9749,WallStreetBets DApp,WSB,wallstreetbets-dapp,2911,1,2021-05-12T19:14:07.000Z,2021-08-12T21:49:05.000Z
9749,WallStreetBets DApp,WSB,wallstreetbets-dapp,2911,1,2021-05-12T19:14:07.000Z,2021-08-12T21:49:05.000Z
9749,WallStreetBets DApp,WSB,wallstreetbets-dapp,2911,1,2021-05-12T19:14:07.000Z,2021-08-12T21:49:05.000Z
9750,NotSafeMoon,NOTSAFEMOON,notsafemoon,4443,1,2021-06-07T14:35:06.000Z,2021-08-12T21:50:05.000Z
9750,NotSafeMoon,NOTSAFEMOON,notsafemoon,4443,1,2021-06-07T14:35:06.000Z,2021-08-12T21:50:05.000Z
9750,NotSafeMoon,NOTSAFEMOON,notsafemoon,4443,1,2021-06-07T14:35:06.000Z,2021-08-12T21:50:05.000Z
9750,NotSafeMoon,NOTSAFEMOON,notsafemoon,4443,1,2021-06-07T14:35:06.000Z,2021-08-12T21:50:05.000Z
9750,NotSafeMoon,NOTSAFEMOON,notsafemoon,4443,1,2021-06-07T14:35:06.000Z,2021-08-12T21:50:05.000Z
9751,COLD FINANCE,COLD,cold-finance,4408,1,2021-05-19T09:56:06.000Z,2021-08-12T21:46:05.000Z
9751,COLD FINANCE,COLD,cold-finance,4408,1,2021-05-19T09:56:06.000Z,2021-08-12T21:46:05.000Z
9751,COLD FINANCE,COLD,cold-finance,4408,1,2021-05-19T09:56:06.000Z,2021-08-12T21:46:05.000Z
9751,COLD FINANCE,COLD,cold-finance,4408,1,2021-05-19T09:56:06.000Z,2021-08-12T21:46:05.000Z
9751,COLD FINANCE,COLD,cold-finance,4408,1,2021-05-19T09:56:06.000Z,2021-08-12T21:46:05.000Z
9752,AFEN Blockchain,AFEN,afen-blockchain,3682,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9752,AFEN Blockchain,AFEN,afen-blockchain,3682,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9752,AFEN Blockchain,AFEN,afen-blockchain,3682,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9752,AFEN Blockchain,AFEN,afen-blockchain,3682,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9752,AFEN Blockchain,AFEN,afen-blockchain,3682,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9753,Elongate Deluxe,ELONGD,elongate-deluxe,5712,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9753,Elongate Deluxe,ELONGD,elongate-deluxe,5712,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9753,Elongate Deluxe,ELONGD,elongate-deluxe,5712,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9753,Elongate Deluxe,ELONGD,elongate-deluxe,5712,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9753,Elongate Deluxe,ELONGD,elongate-deluxe,5712,1,2021-05-12T22:09:07.000Z,2021-08-12T21:49:05.000Z
9755,Moma Protocol,MOMAT,moma-protocol,3265,1,2021-07-06T19:03:07.000Z,2021-08-12T21:48:05.000Z
9756,Virtue Poker,VPP,virtue-poker,1284,1,2021-05-28T20:18:07.000Z,2021-08-12T21:48:05.000Z
9756,Virtue Poker,VPP,virtue-poker,1284,1,2021-05-28T20:18:07.000Z,2021-08-12T21:48:05.000Z
9756,Virtue Poker,VPP,virtue-poker,1284,1,2021-05-28T20:18:07.000Z,2021-08-12T21:48:05.000Z
9756,Virtue Poker,VPP,virtue-poker,1284,1,2021-05-28T20:18:07.000Z,2021-08-12T21:48:05.000Z
